borough,date,year,month,crime_count,population,crime_per_1000,claimant_count,claimant_per_1000,population_density,imd_value
Barking and Dagenham,2023-02-01,2023,2,1680.0,226301,7.423740946792105,8685,38.37808935886276,5892.712926954293,32.883472727272725
Barking and Dagenham,2023-03-01,2023,3,1739.0,226301,7.684455658613969,8995,39.747946319282725,5892.712926954293,32.883472727272725
Barking and Dagenham,2023-04-01,2023,4,1688.0,226301,7.459092094157781,9305,41.1178032797027,5892.712926954293,32.883472727272725
Barking and Dagenham,2023-05-01,2023,5,1928.0,226301,8.519626515128081,9085,40.145646727146584,5892.712926954293,32.883472727272725
Barking and Dagenham,2023-06-01,2023,6,1900.0,226301,8.395897499348214,9285,41.02942541128851,5892.712926954293,32.883472727272725
Barking and Dagenham,2023-07-01,2023,7,1897.0,226301,8.382640819086085,9495,41.957393029637515,5892.712926954293,32.883472727272725
Barking and Dagenham,2023-08-01,2023,8,1820.0,226301,8.042386025691446,9530,42.11205429936235,5892.712926954293,32.883472727272725
Barking and Dagenham,2023-09-01,2023,9,1885.0,226301,8.32961409803757,9620,42.50975470722622,5892.712926954293,32.883472727272725
Barking and Dagenham,2023-10-01,2023,10,1498.0,226301,6.619502344222959,9670,42.7306993782617,5892.712926954293,32.883472727272725
Barking and Dagenham,2023-11-01,2023,11,1579.0,226301,6.977432711300437,9585,42.35509343750138,5892.712926954293,32.883472727272725
Barking and Dagenham,2023-12-01,2023,12,1699.0,226301,7.507699921785587,9600,42.42137683881202,5892.712926954293,32.883472727272725
Barking and Dagenham,2024-01-01,2024,1,1684.0,232747,7.235324193222684,9555,41.05316072817265,5892.712926954293,32.883472727272725
Barking and Dagenham,2024-02-01,2024,2,1638.0,232747,7.037684696258169,9885,42.471009293352864,5892.712926954293,32.883472727272725
Barking and Dagenham,2024-03-01,2024,3,1772.0,232747,7.613417143937409,9885,42.471009293352864,5892.712926954293,32.883472727272725
Barking and Dagenham,2024-04-01,2024,4,1585.0,232747,6.809969623668619,9805,42.12728842906675,5892.712926954293,32.883472727272725
Barking and Dagenham,2024-05-01,2024,5,1723.0,232747,7.402888114562164,10110,43.43772422415756,5892.712926954293,32.883472727272725
Barking and Dagenham,2024-06-01,2024,6,1630.0,232747,7.003312609829558,10570,45.41411919380271,5892.712926954293,32.883472727272725
Barking and Dagenham,2024-07-01,2024,7,1694.0,232747,7.278289301258448,11865,50.978100684434175,5892.712926954293,32.883472727272725
Barking and Dagenham,2024-08-01,2024,8,1596.0,232747,6.857231242507959,11540,49.58173467327184,5892.712926954293,32.883472727272725
Barking and Dagenham,2024-09-01,2024,9,1701.0,232747,7.308364876883483,11465,49.259496363003606,5892.712926954293,32.883472727272725
Barking and Dagenham,2024-10-01,2024,10,1865.0,232747,8.012992648670016,11600,49.83952532148643,5892.712926954293,32.883472727272725
Barking and Dagenham,2024-11-01,2024,11,1841.0,232747,7.909876389384181,11470,49.28097891702149,5892.712926954293,32.883472727272725
Barking and Dagenham,2024-12-01,2024,12,1591.0,232747,6.835748688490077,11560,49.667664889343364,5892.712926954293,32.883472727272725
Barnet,2019-01-01,2019,1,2384.0,390590,6.103586881384572,4540,11.623441460354847,4577.02267274036,15.953625592417062
Barnet,2019-02-01,2019,2,2511.0,390590,6.428736014746922,4800,12.28910110345887,4577.02267274036,15.953625592417062
Barnet,2019-03-01,2019,3,2802.0,390590,7.173762769144115,4945,12.66033436595919,4577.02267274036,15.953625592417062
Barnet,2019-04-01,2019,4,2502.0,390590,6.405693950177936,5070,12.980363040528431,4577.02267274036,15.953625592417062
Barnet,2019-05-01,2019,5,2512.0,390590,6.431296244143475,5225,13.37719859699429,4577.02267274036,15.953625592417062
Barnet,2019-06-01,2019,6,2676.0,390590,6.85117386517832,5560,14.234875444839856,4577.02267274036,15.953625592417062
Barnet,2019-07-01,2019,7,2788.0,390590,7.137919557592361,5625,14.401290355615863,4577.02267274036,15.953625592417062
Barnet,2019-08-01,2019,8,2354.0,390590,6.026779999487955,5665,14.50369953147802,4577.02267274036,15.953625592417062
Barnet,2019-09-01,2019,9,2538.0,390590,6.497862208453878,5805,14.86213164699557,4577.02267274036,15.953625592417062
Barnet,2019-10-01,2019,10,2558.0,390590,6.549066796384956,6025,15.425382114237435,4577.02267274036,15.953625592417062
Barnet,2019-11-01,2019,11,2795.0,390590,7.155841163368238,6145,15.732609641823908,4577.02267274036,15.953625592417062
Barnet,2019-12-01,2019,12,2569.0,390590,6.577229319747049,6235,15.963030287513762,4577.02267274036,15.953625592417062
Barnet,2020-01-01,2020,1,2630.0,391046,6.725551469648072,6315,16.1489952588698,4577.02267274036,15.953625592417062
Barnet,2020-02-01,2020,2,2542.0,391046,6.500514006024867,6455,16.50700940554308,4577.02267274036,15.953625592417062
Barnet,2020-03-01,2020,3,1879.0,391046,4.805061297136398,6690,17.107961723173233,4577.02267274036,15.953625592417062
